funding_sk,funding_id,donor_sk,program_sk,location_sk,time_sk,pledged_amount_usd,received_amount_usd,utilised_amount_usd,balance_usd,utilisation_rate_pct,funding_type,grant_code,reporting_deadline,compliance_status,budget_code,fiscal_year,currency,exchange_rate
346,FND-00346,8,2,13,326,1628968.91,1516675.95,1426005.85,90670.1,94.0,Pooled,GRT-13438,2023-10-08,Compliant,BC-103,2022,USD,1.0
347,FND-00347,5,10,8,437,1567041.21,1500023.89,827629.68,672394.21,55.2,In-Kind,GRT-35510,2023-10-12,Compliant,BC-508,2022,USD,1.0
348,FND-00348,5,9,4,169,714997.27,320832.76,183353.37,137479.39,57.1,Loan,GRT-20880,2023-04-13,Compliant,BC-628,2021,USD,1.0
349,FND-00349,3,1,14,498,1209905.22,1054926.75,763391.96,291534.79,72.4,Pooled,GRT-58060,2023-11-26,Compliant,BC-538,2022,USD,1.0
350,FND-00350,4,1,2,409,1993435.88,1670425.1,1383529.45,286895.65,82.8,Grant,GRT-65794,2023-08-23,At Risk,BC-373,2022,USD,1.0
351,FND-00351,3,6,12,1082,285683.83,195199.53,126934.16,68265.37,65.0,Loan,GRT-28914,2025-11-04,At Risk,BC-885,2024,USD,1.0
352,FND-00352,5,9,10,313,1166665.21,977037.58,540572.89,436464.69,55.3,Pooled,GRT-68708,2023-06-21,At Risk,BC-145,2022,USD,1.0
353,FND-00353,8,5,6,903,1868830.45,833049.68,469920.81,363128.87,56.4,Loan,GRT-66327,2024-12-10,Compliant,BC-274,2023,USD,1.0
354,FND-00354,9,6,11,969,1726683.41,1690391.33,1651375.59,39015.74,97.7,In-Kind,GRT-87888,2025-03-22,Compliant,BC-431,2024,USD,1.0
355,FND-00355,1,8,15,341,1681218.71,1552596.91,829215.29,723381.62,53.4,Pooled,GRT-26036,2023-10-15,Compliant,BC-440,2022,USD,1.0
356,FND-00356,7,10,6,629,1674239.02,894868.16,657835.05,237033.11,73.5,Pooled,GRT-46366,2024-03-04,At Risk,BC-570,2023,USD,1.0
357,FND-00357,4,2,4,360,1157487.0,797928.8,491724.25,306204.55,61.6,Loan,GRT-99615,2023-10-13,At Risk,BC-862,2022,USD,1.0
358,FND-00358,6,8,5,924,1206716.45,906600.87,496008.68,410592.19,54.7,In-Kind,GRT-90600,2025-05-23,Compliant,BC-185,2024,USD,1.0
359,FND-00359,3,5,14,252,1058466.02,776795.08,657482.64,119312.44,84.6,Grant,GRT-58188,2022-12-16,Compliant,BC-827,2022,USD,1.0
360,FND-00360,5,2,8,260,1991547.42,1628734.05,1007256.13,621477.92,61.8,Pooled,GRT-58936,2023-06-27,Compliant,BC-478,2022,USD,1.0
361,FND-00361,8,10,3,129,1949139.9,679870.39,493600.14,186270.25,72.6,Grant,GRT-61051,2022-11-26,Compliant,BC-856,2021,USD,1.0
362,FND-00362,7,6,15,748,1361353.87,491828.07,451463.93,40364.14,91.8,Loan,GRT-91652,2024-05-24,Compliant,BC-379,2023,USD,1.0
363,FND-00363,8,5,3,432,291172.57,183945.33,107046.09,76899.24,58.2,Grant,GRT-80461,2024-02-04,Compliant,BC-562,2022,USD,1.0
364,FND-00364,9,8,9,159,1391864.31,1232030.46,706028.71,526001.75,57.3,Loan,GRT-66950,2023-05-25,Compliant,BC-646,2021,USD,1.0
365,FND-00365,3,8,4,207,207659.64,197213.89,106507.89,90706.0,54.0,In-Kind,GRT-30035,2022-10-28,Compliant,BC-432,2022,USD,1.0
366,FND-00366,1,4,11,4,1771241.13,1343179.42,1013966.57,329212.85,75.5,In-Kind,GRT-85560,2022-04-09,Compliant,BC-824,2021,USD,1.0
367,FND-00367,6,9,10,171,1399207.21,581330.17,559965.21,21364.96,96.3,Pooled,GRT-42277,2023-02-06,Compliant,BC-374,2021,USD,1.0
368,FND-00368,5,1,7,1086,1293495.36,827043.58,518575.6,308467.98,62.7,Pooled,GRT-70936,2025-09-16,Compliant,BC-645,2024,USD,1.0
369,FND-00369,2,10,5,222,768697.59,471081.01,342486.03,128594.98,72.7,Loan,GRT-86677,2023-01-05,At Risk,BC-452,2022,USD,1.0
370,FND-00370,5,5,1,124,640858.71,541253.79,374489.87,166763.92,69.2,Pooled,GRT-40201,2022-08-22,At Risk,BC-854,2021,USD,1.0
371,FND-00371,10,7,1,861,906143.28,374631.55,320281.07,54350.48,85.5,Grant,GRT-79419,2025-03-24,Compliant,BC-692,2023,USD,1.0
372,FND-00372,7,1,5,248,1366486.79,995267.78,951314.28,43953.5,95.6,Grant,GRT-96862,2023-05-08,Compliant,BC-351,2022,USD,1.0
373,FND-00373,6,1,13,377,1369515.81,1050468.0,713133.77,337334.23,67.9,Loan,GRT-59749,2023-11-07,Compliant,BC-151,2022,USD,1.0
374,FND-00374,8,8,4,216,1649920.88,717780.13,470417.14,247362.99,65.5,Grant,GRT-51445,2023-05-07,Compliant,BC-187,2022,USD,1.0
375,FND-00375,4,6,15,602,1563555.7,941589.8,576668.73,364921.07,61.2,Loan,GRT-55177,2024-08-04,At Risk,BC-322,2023,USD,1.0
376,FND-00376,1,9,10,788,574030.42,222702.46,181125.02,41577.44,81.3,Loan,GRT-30461,2024-09-08,Compliant,BC-614,2023,USD,1.0
377,FND-00377,8,2,12,490,925594.7,585255.71,320646.48,264609.23,54.8,Loan,GRT-90810,2024-01-12,At Risk,BC-788,2022,USD,1.0
378,FND-00378,1,10,14,861,797596.18,665911.57,621841.46,44070.11,93.4,In-Kind,GRT-10937,2024-08-18,Compliant,BC-801,2023,USD,1.0
379,FND-00379,9,2,10,991,1703981.56,1584105.65,1343538.13,240567.52,84.8,Pooled,GRT-63668,2025-03-13,Non-Compliant,BC-391,2024,USD,1.0
380,FND-00380,2,8,6,1000,1020601.02,828370.09,798321.19,30048.9,96.4,Grant,GRT-31618,2025-02-08,Non-Compliant,BC-143,2024,USD,1.0
381,FND-00381,3,10,8,676,361478.68,246290.56,215914.41,30376.15,87.7,Pooled,GRT-95386,2024-08-22,Compliant,BC-529,2023,USD,1.0
382,FND-00382,3,8,9,589,342831.8,283540.84,243303.62,40237.22,85.8,Pooled,GRT-12239,2024-08-09,Compliant,BC-568,2023,USD,1.0
383,FND-00383,9,6,10,218,551617.72,390554.52,381704.67,8849.85,97.7,Pooled,GRT-67999,2023-02-21,Compliant,BC-477,2022,USD,1.0
384,FND-00384,3,2,15,292,1006083.8,381939.99,281334.53,100605.46,73.7,In-Kind,GRT-59226,2023-05-05,At Risk,BC-223,2022,USD,1.0
385,FND-00385,1,9,3,987,291250.7,194302.44,144539.33,49763.11,74.4,Loan,GRT-72373,2025-04-08,At Risk,BC-151,2024,USD,1.0
386,FND-00386,7,2,6,52,1204095.72,457512.8,250628.69,206884.11,54.8,In-Kind,GRT-48361,2022-07-18,Compliant,BC-486,2021,USD,1.0
387,FND-00387,10,2,15,317,66010.32,60963.75,34090.18,26873.57,55.9,Grant,GRT-70031,2023-11-07,At Risk,BC-370,2022,USD,1.0
388,FND-00388,5,8,3,501,1580863.44,1010083.9,575762.46,434321.44,57.0,Loan,GRT-88350,2023-11-27,Compliant,BC-524,2022,USD,1.0
389,FND-00389,5,9,5,967,1506916.55,1354387.13,841225.57,513161.56,62.1,Grant,GRT-94428,2025-04-07,Compliant,BC-744,2024,USD,1.0
390,FND-00390,2,8,4,672,585182.01,433989.73,283800.77,150188.96,65.4,In-Kind,GRT-16064,2024-02-24,At Risk,BC-621,2023,USD,1.0
391,FND-00391,1,8,4,293,208790.49,183816.86,145914.64,37902.22,79.4,Grant,GRT-23029,2023-07-22,Compliant,BC-247,2022,USD,1.0
392,FND-00392,4,5,11,580,1211083.52,391933.66,202121.59,189812.07,51.6,Pooled,GRT-55424,2024-03-12,Compliant,BC-949,2023,USD,1.0
393,FND-00393,6,4,12,970,164812.71,125785.82,87239.4,38546.42,69.4,Grant,GRT-47735,2025-04-29,Compliant,BC-331,2024,USD,1.0
394,FND-00394,4,1,12,158,832187.77,418299.44,417291.26,1008.18,99.8,Grant,GRT-87083,2023-05-29,At Risk,BC-894,2021,USD,1.0
395,FND-00395,9,8,2,992,1833264.73,1184184.92,1036652.12,147532.8,87.5,Pooled,GRT-16549,2025-05-08,Compliant,BC-882,2024,USD,1.0
396,FND-00396,6,4,13,438,768279.05,670582.19,606996.65,63585.54,90.5,Loan,GRT-44475,2023-06-19,At Risk,BC-780,2022,USD,1.0
397,FND-00397,9,1,7,7,1846224.57,1806757.66,1758626.22,48131.44,97.3,Grant,GRT-37907,2022-06-21,Compliant,BC-932,2021,USD,1.0
398,FND-00398,2,7,14,143,1833075.75,1260602.76,1017538.06,243064.7,80.7,Pooled,GRT-87534,2023-04-30,Compliant,BC-122,2021,USD,1.0
399,FND-00399,7,4,10,831,465168.09,163196.19,126023.93,37172.26,77.2,Loan,GRT-76794,2024-09-11,Compliant,BC-636,2023,USD,1.0
400,FND-00400,9,6,11,744,1276067.09,1083268.49,779249.18,304019.31,71.9,Pooled,GRT-25378,2024-04-17,Compliant,BC-237,2023,USD,1.0
401,FND-00401,8,3,12,72,414990.93,129878.92,117508.13,12370.79,90.5,In-Kind,GRT-48861,2022-08-16,Compliant,BC-883,2021,USD,1.0
402,FND-00402,1,2,4,1021,702588.81,242432.92,202553.48,39879.44,83.6,Pooled,GRT-89612,2025-07-09,At Risk,BC-548,2024,USD,1.0
403,FND-00403,10,1,4,7,595201.71,494839.49,485118.14,9721.35,98.0,Grant,GRT-57759,2022-09-22,Compliant,BC-958,2021,USD,1.0
404,FND-00404,3,5,1,256,278573.6,85563.93,52685.88,32878.05,61.6,Grant,GRT-56388,2023-03-02,Compliant,BC-454,2022,USD,1.0
405,FND-00405,2,8,12,385,221025.59,104833.44,97094.98,7738.46,92.6,Grant,GRT-97014,2023-06-24,Compliant,BC-274,2022,USD,1.0
406,FND-00406,4,3,2,743,1973048.58,1736240.63,988838.29,747402.34,57.0,Loan,GRT-84197,2024-09-20,Compliant,BC-505,2023,USD,1.0
407,FND-00407,8,3,15,689,1166723.06,792713.81,520132.31,272581.5,65.6,Pooled,GRT-12325,2024-08-28,Compliant,BC-703,2023,USD,1.0
408,FND-00408,1,6,10,8,1143416.63,586259.26,404073.16,182186.1,68.9,Pooled,GRT-75265,2022-10-31,Compliant,BC-623,2021,USD,1.0
409,FND-00409,3,8,15,180,357000.14,260101.34,249380.4,10720.94,95.9,Loan,GRT-12535,2022-11-25,Compliant,BC-858,2021,USD,1.0
410,FND-00410,9,6,11,238,714586.54,305109.03,195128.51,109980.52,64.0,Loan,GRT-37614,2023-02-23,Compliant,BC-435,2022,USD,1.0
411,FND-00411,10,9,7,897,1000916.66,456137.83,231733.3,224404.53,50.8,Loan,GRT-54386,2024-11-30,Compliant,BC-449,2023,USD,1.0
412,FND-00412,3,6,12,252,1670088.62,852753.9,735062.16,117691.74,86.2,Grant,GRT-66865,2023-07-28,At Risk,BC-197,2022,USD,1.0
413,FND-00413,7,7,13,844,137091.66,123256.59,120673.08,2583.51,97.9,In-Kind,GRT-93089,2024-09-10,Compliant,BC-839,2023,USD,1.0
414,FND-00414,3,8,12,845,858615.95,655749.33,522502.81,133246.52,79.7,Grant,GRT-16917,2025-01-25,Compliant,BC-893,2023,USD,1.0
415,FND-00415,9,6,10,482,1394399.57,990381.54,762757.78,227623.76,77.0,Loan,GRT-96237,2024-03-13,Compliant,BC-151,2022,USD,1.0
416,FND-00416,9,2,10,129,1014902.1,907604.82,727510.88,180093.94,80.2,Pooled,GRT-44209,2022-09-12,Compliant,BC-402,2021,USD,1.0
417,FND-00417,4,2,3,3,1883438.56,1489464.11,1039324.56,450139.55,69.8,Pooled,GRT-47217,2022-06-23,Compliant,BC-856,2021,USD,1.0
418,FND-00418,6,10,10,993,1230997.64,846732.95,627288.22,219444.73,74.1,Grant,GRT-49527,2025-01-20,Compliant,BC-604,2024,USD,1.0
419,FND-00419,7,5,9,1055,564956.98,205230.98,115640.31,89590.67,56.3,Pooled,GRT-55051,2025-10-14,Compliant,BC-779,2024,USD,1.0
420,FND-00420,2,3,15,271,1283974.16,797090.71,598653.65,198437.06,75.1,Loan,GRT-34460,2023-09-06,At Risk,BC-182,2022,USD,1.0
421,FND-00421,5,7,9,17,398558.02,325991.21,219109.41,106881.8,67.2,Loan,GRT-47343,2022-12-14,Compliant,BC-470,2021,USD,1.0
422,FND-00422,9,7,12,9,626950.09,340364.4,308136.97,32227.43,90.5,Pooled,GRT-55662,2022-11-26,Compliant,BC-609,2021,USD,1.0
423,FND-00423,2,4,4,496,1870076.94,1797644.84,1090371.22,707273.62,60.7,Pooled,GRT-84257,2024-02-11,At Risk,BC-790,2022,USD,1.0
424,FND-00424,8,7,11,876,1820951.06,1503309.91,1009981.01,493328.9,67.2,Pooled,GRT-34303,2025-02-11,Compliant,BC-300,2023,USD,1.0
425,FND-00425,9,10,14,690,1086614.36,865998.15,825004.18,40993.97,95.3,Pooled,GRT-84682,2024-07-15,Compliant,BC-370,2023,USD,1.0
426,FND-00426,10,4,4,280,1820140.45,1772683.74,1304681.01,468002.73,73.6,Grant,GRT-35306,2023-07-21,Compliant,BC-785,2022,USD,1.0
427,FND-00427,2,8,7,1096,402789.12,375119.68,239166.25,135953.43,63.8,Loan,GRT-86830,2025-05-22,Compliant,BC-693,2024,USD,1.0
428,FND-00428,3,9,10,239,1117507.05,829074.05,693594.64,135479.41,83.7,Pooled,GRT-82049,2023-05-12,Compliant,BC-204,2022,USD,1.0
429,FND-00429,7,10,11,1092,881296.43,461692.71,444717.15,16975.56,96.3,Loan,GRT-94292,2025-05-01,Compliant,BC-775,2024,USD,1.0
430,FND-00430,3,8,6,11,1206182.47,636350.0,385068.33,251281.67,60.5,Grant,GRT-10093,2022-10-09,Compliant,BC-206,2021,USD,1.0
431,FND-00431,6,1,7,109,124715.38,116719.0,88238.53,28480.47,75.6,Pooled,GRT-31127,2022-08-02,Compliant,BC-642,2021,USD,1.0
432,FND-00432,8,6,8,680,1500967.31,746271.35,462078.98,284192.37,61.9,Pooled,GRT-75238,2024-07-24,At Risk,BC-781,2023,USD,1.0
433,FND-00433,1,9,9,1007,1814749.83,1350568.74,1335246.98,15321.76,98.9,In-Kind,GRT-87376,2025-05-31,At Risk,BC-661,2024,USD,1.0
434,FND-00434,8,2,5,847,1727441.41,1159375.85,782837.24,376538.61,67.5,In-Kind,GRT-31149,2024-10-08,Compliant,BC-716,2023,USD,1.0
435,FND-00435,6,9,7,1025,795125.38,315326.84,224528.68,90798.16,71.2,In-Kind,GRT-15594,2025-08-01,Compliant,BC-770,2024,USD,1.0
436,FND-00436,4,5,5,833,1914722.86,1410591.26,1093046.9,317544.36,77.5,In-Kind,GRT-69459,2024-09-07,Compliant,BC-477,2023,USD,1.0
437,FND-00437,4,8,10,617,917767.01,884607.42,763671.43,120935.99,86.3,Grant,GRT-43343,2024-06-06,Compliant,BC-509,2023,USD,1.0
438,FND-00438,10,3,1,652,674128.38,635045.22,524860.65,110184.57,82.6,Pooled,GRT-29491,2024-04-17,Compliant,BC-709,2023,USD,1.0
439,FND-00439,1,4,11,1042,1819410.59,1396199.67,739082.56,657117.11,52.9,Grant,GRT-96051,2025-10-27,At Risk,BC-256,2024,USD,1.0
440,FND-00440,5,2,13,951,394280.05,131870.58,130008.28,1862.3,98.6,Pooled,GRT-47094,2025-02-03,Compliant,BC-379,2024,USD,1.0
441,FND-00441,2,2,13,1033,1947869.69,1421580.63,1125367.29,296213.34,79.2,Grant,GRT-68457,2025-02-03,Compliant,BC-166,2024,USD,1.0
442,FND-00442,9,7,11,46,1429230.16,911323.0,828319.5,83003.5,90.9,Grant,GRT-96942,2022-12-19,Compliant,BC-889,2021,USD,1.0
443,FND-00443,2,10,2,857,1199950.56,1128485.87,673528.56,454957.31,59.7,Loan,GRT-20997,2024-09-02,Compliant,BC-346,2023,USD,1.0
444,FND-00444,5,8,10,886,1623410.29,659602.01,553887.75,105714.26,84.0,Pooled,GRT-42218,2025-05-28,Compliant,BC-727,2023,USD,1.0
445,FND-00445,7,8,7,845,733074.53,632372.01,496448.39,135923.62,78.5,Loan,GRT-24252,2025-01-25,Compliant,BC-421,2023,USD,1.0
446,FND-00446,1,3,9,961,261154.18,161203.41,124575.7,36627.71,77.3,Grant,GRT-29747,2024-12-10,At Risk,BC-643,2024,USD,1.0
447,FND-00447,8,8,8,593,853129.84,762470.28,556111.17,206359.11,72.9,Pooled,GRT-62307,2024-03-06,At Risk,BC-495,2023,USD,1.0
448,FND-00448,7,5,1,741,173013.88,118591.88,102043.15,16548.73,86.0,Grant,GRT-39618,2024-11-19,Compliant,BC-465,2023,USD,1.0
449,FND-00449,4,6,9,845,666895.65,253270.57,163046.55,90224.02,64.4,Loan,GRT-52619,2025-01-24,At Risk,BC-453,2023,USD,1.0
450,FND-00450,7,4,1,588,316292.37,220942.13,124152.79,96789.34,56.2,Loan,GRT-74080,2024-03-31,Compliant,BC-548,2023,USD,1.0
451,FND-00451,1,5,4,106,947750.6,322042.03,251399.87,70642.16,78.1,In-Kind,GRT-79867,2022-09-05,Compliant,BC-482,2021,USD,1.0
452,FND-00452,2,2,13,1046,36159.56,15045.28,7990.84,7054.44,53.1,In-Kind,GRT-93683,2025-03-23,At Risk,BC-680,2024,USD,1.0
453,FND-00453,2,6,9,117,192384.59,158379.36,114640.69,43738.67,72.4,Pooled,GRT-38826,2022-12-01,Compliant,BC-508,2021,USD,1.0
454,FND-00454,7,3,4,551,1537554.37,1385792.97,939656.76,446136.21,67.8,Pooled,GRT-97343,2024-02-11,Compliant,BC-170,2023,USD,1.0
455,FND-00455,1,9,11,465,88327.84,36236.42,35876.37,360.05,99.0,Grant,GRT-77649,2023-08-17,Compliant,BC-658,2022,USD,1.0
456,FND-00456,3,3,12,731,1302406.56,887167.21,711902.96,175264.25,80.2,In-Kind,GRT-73052,2024-06-22,Compliant,BC-480,2023,USD,1.0
457,FND-00457,10,7,7,156,1784038.25,837034.34,572143.73,264890.61,68.4,Grant,GRT-78117,2022-11-07,Compliant,BC-112,2021,USD,1.0
458,FND-00458,8,7,12,229,285509.68,111536.8,64389.51,47147.29,57.7,Pooled,GRT-78922,2023-02-05,Compliant,BC-840,2022,USD,1.0
459,FND-00459,10,7,12,810,834167.22,391659.78,216645.13,175014.65,55.3,Grant,GRT-34001,2025-03-16,Compliant,BC-321,2023,USD,1.0
460,FND-00460,2,9,3,533,1608208.24,533299.28,437975.96,95323.32,82.1,In-Kind,GRT-82872,2023-09-25,Compliant,BC-802,2022,USD,1.0
461,FND-00461,5,8,7,519,334806.28,329193.36,207612.65,121580.71,63.1,Pooled,GRT-98844,2023-12-30,Compliant,BC-518,2022,USD,1.0
462,FND-00462,1,9,15,488,277129.2,200570.41,111274.9,89295.51,55.5,Grant,GRT-81816,2023-11-03,Compliant,BC-131,2022,USD,1.0
463,FND-00463,3,7,6,790,1934488.22,1017980.67,538398.18,479582.49,52.9,Loan,GRT-67583,2024-06-08,Compliant,BC-405,2023,USD,1.0
464,FND-00464,7,2,2,663,59372.47,55399.93,46689.76,8710.17,84.3,Loan,GRT-64530,2024-03-15,Compliant,BC-309,2023,USD,1.0
465,FND-00465,9,3,10,365,1292258.94,663634.55,635023.82,28610.73,95.7,In-Kind,GRT-79391,2023-12-10,Compliant,BC-578,2022,USD,1.0
466,FND-00466,10,10,3,118,402970.49,145227.39,106141.86,39085.53,73.1,Grant,GRT-96971,2022-10-22,Compliant,BC-135,2021,USD,1.0
467,FND-00467,10,9,11,492,1363033.43,519330.54,411890.59,107439.95,79.3,Pooled,GRT-70775,2024-01-29,Compliant,BC-347,2022,USD,1.0
468,FND-00468,9,7,5,346,1067348.17,1063822.34,615771.32,448051.02,57.9,In-Kind,GRT-54233,2023-06-29,Compliant,BC-761,2022,USD,1.0
469,FND-00469,1,2,3,906,1973875.04,1791600.61,1306532.57,485068.04,72.9,Loan,GRT-92314,2025-02-11,Compliant,BC-627,2023,USD,1.0
470,FND-00470,7,5,2,161,1510092.57,1248335.52,1031976.17,216359.35,82.7,Loan,GRT-42779,2022-12-19,Compliant,BC-429,2021,USD,1.0
471,FND-00471,7,9,9,263,1717632.73,772529.29,522663.19,249866.1,67.7,In-Kind,GRT-61455,2023-04-15,At Risk,BC-479,2022,USD,1.0
472,FND-00472,4,1,11,678,1455275.31,868763.75,600678.73,268085.02,69.1,In-Kind,GRT-29680,2024-09-20,Compliant,BC-473,2023,USD,1.0
473,FND-00473,1,6,15,599,918670.13,628928.16,547265.57,81662.59,87.0,Grant,GRT-59683,2024-06-09,Compliant,BC-170,2023,USD,1.0
474,FND-00474,1,4,4,410,287888.65,242406.11,147511.31,94894.8,60.9,In-Kind,GRT-53032,2023-05-16,Compliant,BC-912,2022,USD,1.0
475,FND-00475,8,10,12,807,1325876.28,904147.26,557347.61,346799.65,61.6,In-Kind,GRT-45666,2024-11-07,Compliant,BC-810,2023,USD,1.0
476,FND-00476,5,4,13,882,1733860.23,569352.56,531923.96,37428.6,93.4,Pooled,GRT-38670,2025-05-28,At Risk,BC-705,2023,USD,1.0
477,FND-00477,6,4,9,798,65017.84,29315.26,27729.79,1585.47,94.6,Loan,GRT-82995,2025-02-25,At Risk,BC-498,2023,USD,1.0
478,FND-00478,10,3,3,57,1538998.39,853742.78,825089.54,28653.24,96.6,Pooled,GRT-85143,2022-10-16,Compliant,BC-154,2021,USD,1.0
479,FND-00479,8,10,11,497,445801.14,419434.42,315674.34,103760.08,75.3,In-Kind,GRT-13926,2024-01-12,Non-Compliant,BC-131,2022,USD,1.0
480,FND-00480,4,9,5,1033,1640294.44,1180941.94,776558.36,404383.58,65.8,Loan,GRT-28132,2025-05-28,Compliant,BC-881,2024,USD,1.0
481,FND-00481,6,9,15,239,1849123.63,1068420.16,846607.59,221812.57,79.2,Pooled,GRT-87185,2023-01-24,Compliant,BC-705,2022,USD,1.0
482,FND-00482,8,7,2,970,414741.67,308613.97,237690.32,70923.65,77.0,Grant,GRT-12021,2025-07-16,Compliant,BC-257,2024,USD,1.0
483,FND-00483,8,1,15,726,1319676.44,497544.89,319472.81,178072.08,64.2,In-Kind,GRT-69695,2024-06-30,Compliant,BC-223,2023,USD,1.0
484,FND-00484,5,4,9,904,716820.35,471394.9,371647.66,99747.24,78.8,Grant,GRT-80081,2025-05-18,Compliant,BC-353,2023,USD,1.0
485,FND-00485,7,4,10,474,912801.79,388316.17,347925.61,40390.56,89.6,Pooled,GRT-33357,2024-04-11,Non-Compliant,BC-528,2022,USD,1.0
486,FND-00486,5,2,14,209,1358059.98,1133594.55,785895.97,347698.58,69.3,Pooled,GRT-53411,2023-01-13,Non-Compliant,BC-971,2022,USD,1.0
487,FND-00487,2,8,7,1003,1301766.43,473039.91,303466.45,169573.46,64.2,Loan,GRT-81832,2025-02-22,Compliant,BC-561,2024,USD,1.0
488,FND-00488,2,9,3,195,337205.03,270242.76,267133.21,3109.55,98.8,Loan,GRT-63048,2022-10-16,Compliant,BC-610,2022,USD,1.0
489,FND-00489,9,5,1,846,170337.4,51934.72,46890.6,5044.12,90.3,Loan,GRT-73852,2025-01-16,Compliant,BC-736,2023,USD,1.0
490,FND-00490,6,1,5,355,298022.37,238869.52,146023.32,92846.2,61.1,Grant,GRT-84354,2023-06-01,Compliant,BC-295,2022,USD,1.0
491,FND-00491,7,9,12,813,1096053.36,959769.85,737602.88,222166.97,76.9,Grant,GRT-90685,2024-09-25,Compliant,BC-776,2023,USD,1.0
492,FND-00492,1,4,15,656,401175.59,227453.61,207839.43,19614.18,91.4,Pooled,GRT-57625,2024-08-10,At Risk,BC-375,2023,USD,1.0
493,FND-00493,1,8,5,302,302994.94,300498.31,262771.76,37726.55,87.4,Grant,GRT-54121,2023-09-22,Compliant,BC-378,2022,USD,1.0
494,FND-00494,2,1,9,848,1456226.0,1280064.12,679460.87,600603.25,53.1,Pooled,GRT-49059,2024-09-21,Compliant,BC-118,2023,USD,1.0
495,FND-00495,2,9,13,799,104534.81,86201.53,51541.3,34660.23,59.8,Loan,GRT-58594,2024-07-07,Compliant,BC-693,2023,USD,1.0
496,FND-00496,2,3,10,201,1236846.62,1170401.31,960304.37,210096.94,82.0,Loan,GRT-87648,2023-03-08,Compliant,BC-320,2022,USD,1.0
497,FND-00497,3,3,9,829,796602.16,446557.72,430664.44,15893.28,96.4,In-Kind,GRT-93738,2024-12-20,Compliant,BC-272,2023,USD,1.0
498,FND-00498,1,6,14,590,1200634.3,985333.62,899031.7,86301.92,91.2,In-Kind,GRT-30272,2023-12-01,Compliant,BC-629,2023,USD,1.0
499,FND-00499,2,6,9,752,334866.27,314729.58,202858.21,111871.37,64.5,Loan,GRT-62922,2025-01-05,Compliant,BC-635,2023,USD,1.0
500,FND-00500,2,9,7,487,906238.6,525462.86,297576.59,227886.27,56.6,Grant,GRT-19970,2023-11-27,Compliant,BC-611,2022,USD,1.0
501,FND-00501,10,6,15,795,351741.31,301182.25,191596.18,109586.07,63.6,Loan,GRT-46519,2024-12-14,Compliant,BC-944,2023,USD,1.0
502,FND-00502,5,10,7,740,1263026.18,1039187.73,1002064.2,37123.53,96.4,In-Kind,GRT-53287,2024-05-08,Compliant,BC-415,2023,USD,1.0
503,FND-00503,4,10,9,1,1658395.95,1029696.48,694831.64,334864.84,67.5,Pooled,GRT-88350,2022-05-03,Compliant,BC-531,2021,USD,1.0
504,FND-00504,1,4,2,293,1101059.52,942205.04,887250.57,54954.47,94.2,Loan,GRT-42710,2023-09-15,Compliant,BC-791,2022,USD,1.0
505,FND-00505,8,4,7,442,81117.23,31945.2,16122.09,15823.11,50.5,Pooled,GRT-46786,2023-08-05,At Risk,BC-837,2022,USD,1.0
506,FND-00506,3,4,14,152,1296162.3,1230569.3,728054.9,502514.4,59.2,Pooled,GRT-24208,2022-12-21,Compliant,BC-595,2021,USD,1.0
507,FND-00507,9,7,2,994,1617717.55,1410855.85,1319701.89,91153.96,93.5,In-Kind,GRT-80147,2025-04-16,Compliant,BC-347,2024,USD,1.0
508,FND-00508,1,10,4,581,20556.98,15901.35,10610.35,5291.0,66.7,Grant,GRT-10725,2023-11-20,Compliant,BC-712,2023,USD,1.0
509,FND-00509,9,4,10,196,1085185.06,653579.78,354905.49,298674.29,54.3,Grant,GRT-83732,2023-06-21,Compliant,BC-781,2022,USD,1.0
510,FND-00510,7,6,9,690,998107.19,766233.67,672556.22,93677.45,87.8,Loan,GRT-21257,2024-08-24,Compliant,BC-967,2023,USD,1.0
511,FND-00511,3,1,13,144,1112885.83,919638.8,465019.52,454619.28,50.6,Pooled,GRT-30196,2023-01-07,Compliant,BC-787,2021,USD,1.0
512,FND-00512,1,4,4,417,1424108.48,1205319.37,1131821.92,73497.45,93.9,In-Kind,GRT-16782,2024-02-14,Compliant,BC-719,2022,USD,1.0
513,FND-00513,2,6,14,948,195383.0,100445.25,98009.79,2435.46,97.6,Grant,GRT-39357,2025-02-05,Compliant,BC-895,2024,USD,1.0
514,FND-00514,9,7,9,823,1832400.81,552697.34,395027.64,157669.7,71.5,Loan,GRT-33330,2025-02-19,At Risk,BC-653,2023,USD,1.0
515,FND-00515,1,9,8,327,1125571.76,647658.99,484458.63,163200.36,74.8,Pooled,GRT-81320,2023-08-30,Compliant,BC-116,2022,USD,1.0
516,FND-00516,9,8,1,1004,1949073.55,1395442.05,854080.9,541361.15,61.2,In-Kind,GRT-26522,2025-05-25,Compliant,BC-129,2024,USD,1.0
517,FND-00517,8,2,10,1055,1394141.23,1198314.14,777019.8,421294.34,64.8,Pooled,GRT-78077,2025-05-24,Compliant,BC-674,2024,USD,1.0
518,FND-00518,1,1,15,716,389523.38,349888.27,303255.61,46632.66,86.7,Loan,GRT-60500,2024-08-14,Compliant,BC-790,2023,USD,1.0
