distribution_sk,distribution_id,beneficiary_sk,location_sk,program_sk,time_sk,aid_type,quantity_distributed,unit_cost_usd,total_cost_usd,planned_date,actual_date,delay_days,delivery_status,transport_mode,distribution_point,staff_id,verification_method,beneficiary_confirmed,data_quality_flag,notes
5288,DIST-005288,3256,7,3,977,Shelter Kit,41,250,10250,2024-09-03,2024-09-13,10,Completed,Handcarry,DP-28,STF-133,Token,1,0,
5289,DIST-005289,1135,7,8,724,Education Kit,38,35,1330,2023-12-25,2024-01-02,8,In Transit,Truck,DP-04,STF-069,Voucher,1,0,
5290,DIST-005290,4652,15,5,993,Winterization Kit,14,75,1050,2024-09-19,2024-09-20,1,Completed,Boat,DP-04,STF-051,Biometric,1,0,
5291,DIST-005291,2078,8,9,997,Shelter Kit,19,250,4750,2024-09-23,2024-09-29,6,Completed,Truck,DP-15,STF-113,Voucher,0,0,
5292,DIST-005292,958,5,7,809,Shelter Kit,41,250,10250,2024-03-19,2024-03-31,12,Delayed,Handcarry,DP-41,STF-108,Biometric,1,0,
5293,DIST-005293,967,5,9,227,WASH Kit,19,60,1140,2022-08-15,2022-09-01,17,Delayed,Truck,DP-04,STF-056,Token,0,0,
5294,DIST-005294,3228,9,3,809,WASH Kit,42,60,2520,2024-03-19,2024-03-29,10,Failed,Boat,DP-13,STF-045,Voucher,0,0,
5295,DIST-005295,1980,15,2,1015,Shelter Kit,16,250,4000,2024-10-11,2024-10-17,6,In Transit,Air,DP-34,STF-089,Token,1,0,
5296,DIST-005296,4060,7,4,196,Food Ration,31,45,1395,2022-07-15,2022-07-28,13,Delayed,Boat,DP-35,STF-052,List-based,1,0,
5297,DIST-005297,275,3,5,715,Education Kit,50,35,1750,2023-12-16,2023-12-19,3,Completed,Truck,DP-50,STF-017,Token,0,0,
5298,DIST-005298,2583,13,5,653,Food Ration,21,45,945,2023-10-15,2023-10-23,8,Completed,Truck,DP-23,STF-113,List-based,1,0,
5299,DIST-005299,4325,15,4,145,Food Ration,4,45,180,2022-05-25,2022-05-28,3,Completed,Boat,DP-18,STF-134,Voucher,1,0,
5300,DIST-005300,1051,15,8,524,Shelter Kit,10,250,2500,2023-06-08,2023-06-15,7,Partial,Truck,DP-06,STF-019,Token,1,0,
5301,DIST-005301,4152,9,7,575,Education Kit,6,35,210,2023-07-29,2023-08-07,9,Completed,Handcarry,DP-20,STF-146,List-based,1,0,
5302,DIST-005302,4913,12,5,415,Shelter Kit,50,250,12500,2023-02-19,2023-02-19,0,Completed,Air,DP-22,STF-094,Token,1,0,
5303,DIST-005303,1317,3,10,768,Education Kit,12,35,420,2024-02-07,2024-02-08,1,Completed,Handcarry,DP-49,STF-068,Token,1,0,
5304,DIST-005304,410,12,10,413,Education Kit,30,35,1050,2023-02-17,2023-02-19,2,Completed,Handcarry,DP-03,STF-041,Voucher,0,1,
5305,DIST-005305,1266,7,8,69,Medical Supplies,14,120,1680,2022-03-10,2022-03-15,5,Completed,Boat,DP-07,STF-039,Voucher,1,0,
5306,DIST-005306,2027,15,7,269,Food Ration,3,45,135,2022-09-26,2022-10-04,8,Completed,Air,DP-39,STF-085,Biometric,1,0,
5307,DIST-005307,2425,6,1,963,Food Ration,45,45,2025,2024-08-20,2024-08-30,10,Completed,Truck,DP-07,STF-137,Token,1,0,
5308,DIST-005308,880,15,8,534,WASH Kit,35,60,2100,2023-06-18,2023-06-27,9,Partial,Air,DP-46,STF-111,Token,1,1,
5309,DIST-005309,246,12,1,50,NFI Kit,16,85,1360,2022-02-19,2022-03-01,10,Completed,Boat,DP-30,STF-138,Biometric,1,0,
5310,DIST-005310,1465,13,2,101,Cash Transfer,12,100,1200,2022-04-11,2022-04-14,3,Completed,Boat,DP-35,STF-127,Voucher,0,0,
5311,DIST-005311,4278,4,8,325,Food Ration,43,45,1935,2022-11-21,2022-12-07,16,Delayed,Truck,DP-36,STF-032,Token,1,0,
5312,DIST-005312,2746,2,2,173,Education Kit,32,35,1120,2022-06-22,2022-06-25,3,Partial,Truck,DP-22,STF-085,Biometric,1,1,
5313,DIST-005313,3288,7,4,564,WASH Kit,8,60,480,2023-07-18,2023-07-27,9,Partial,Truck,DP-26,STF-100,Token,1,0,
5314,DIST-005314,2045,15,1,582,Education Kit,20,35,700,2023-08-05,2023-08-11,6,Completed,Air,DP-19,STF-113,Biometric,1,0,
5315,DIST-005315,973,14,9,860,Food Ration,14,45,630,2024-05-09,2024-05-13,4,Completed,Boat,DP-37,STF-190,Token,0,0,
5316,DIST-005316,374,8,1,843,Shelter Kit,9,250,2250,2024-04-22,2024-04-30,8,Completed,Air,DP-25,STF-166,Voucher,1,0,
5317,DIST-005317,578,10,3,417,Winterization Kit,46,75,3450,2023-02-21,2023-02-21,0,Completed,Boat,DP-23,STF-132,Token,0,0,
5318,DIST-005318,4278,4,4,192,Medical Supplies,10,120,1200,2022-07-11,2022-07-12,1,Completed,Handcarry,DP-22,STF-178,Token,1,0,
5319,DIST-005319,993,6,2,385,WASH Kit,27,60,1620,2023-01-20,2023-01-24,4,Completed,Handcarry,DP-18,STF-144,Token,0,0,
5320,DIST-005320,276,1,3,514,WASH Kit,29,60,1740,2023-05-29,2023-06-06,8,Completed,Air,DP-40,STF-132,Voucher,1,0,
5321,DIST-005321,3979,9,4,1083,WASH Kit,46,60,2760,2024-12-18,2024-12-26,8,Partial,Boat,DP-29,STF-109,Token,0,0,
5322,DIST-005322,4076,5,2,549,NFI Kit,35,85,2975,2023-07-03,2023-07-08,5,Completed,Handcarry,DP-43,STF-172,Biometric,1,0,
5323,DIST-005323,2538,2,3,935,Medical Supplies,18,120,2160,2024-07-23,2024-07-27,4,Failed,Boat,DP-11,STF-022,Biometric,1,0,
5324,DIST-005324,32,11,9,991,Medical Supplies,5,120,600,2024-09-17,2024-10-04,17,Delayed,Air,DP-11,STF-004,Token,1,1,
5325,DIST-005325,2144,5,5,1048,NFI Kit,5,85,425,2024-11-13,2024-11-16,3,Completed,Boat,DP-22,STF-057,List-based,1,1,
5326,DIST-005326,4968,5,10,324,Education Kit,14,35,490,2022-11-20,2022-11-25,5,Completed,Boat,DP-25,STF-165,Biometric,1,0,
5327,DIST-005327,3756,8,10,395,Education Kit,12,35,420,2023-01-30,2023-02-12,13,Delayed,Handcarry,DP-26,STF-026,List-based,1,0,
5328,DIST-005328,2414,13,5,314,WASH Kit,28,60,1680,2022-11-10,2022-11-18,8,In Transit,Air,DP-31,STF-064,Biometric,0,1,
5329,DIST-005329,1232,2,3,650,WASH Kit,20,60,1200,2023-10-12,2023-10-24,12,Delayed,Handcarry,DP-44,STF-185,Biometric,0,0,
5330,DIST-005330,4954,7,4,627,Cash Transfer,35,100,3500,2023-09-19,2023-09-21,2,Failed,Truck,DP-38,STF-008,List-based,1,0,
5331,DIST-005331,598,14,4,982,Shelter Kit,50,250,12500,2024-09-08,2024-09-13,5,Completed,Truck,DP-16,STF-093,Biometric,1,0,
5332,DIST-005332,1450,11,10,786,WASH Kit,9,60,540,2024-02-25,2024-03-02,6,Completed,Handcarry,DP-22,STF-090,Biometric,0,0,
5333,DIST-005333,3478,5,8,704,Food Ration,44,45,1980,2023-12-05,2023-12-08,3,Completed,Truck,DP-17,STF-086,Token,0,1,
5334,DIST-005334,722,4,4,716,Cash Transfer,46,100,4600,2023-12-17,2023-12-19,2,Completed,Air,DP-35,STF-095,Voucher,1,0,
5335,DIST-005335,2027,3,2,211,Cash Transfer,23,100,2300,2022-07-30,2022-08-08,9,In Transit,Handcarry,DP-21,STF-027,Biometric,1,0,
5336,DIST-005336,996,2,1,281,Shelter Kit,6,250,1500,2022-10-08,2022-10-17,9,Completed,Truck,DP-33,STF-180,List-based,1,1,
5337,DIST-005337,211,8,10,29,WASH Kit,39,60,2340,2022-01-29,2022-02-01,3,Completed,Handcarry,DP-40,STF-018,Voucher,1,0,
5338,DIST-005338,4979,14,4,17,Education Kit,16,35,560,2022-01-17,2022-01-27,10,Partial,Truck,DP-02,STF-072,Voucher,1,0,
5339,DIST-005339,2931,8,6,896,Medical Supplies,28,120,3360,2024-06-14,2024-06-17,3,Completed,Air,DP-15,STF-197,Token,1,1,
5340,DIST-005340,1322,7,7,651,Education Kit,47,35,1645,2023-10-13,2023-10-18,5,Delayed,Boat,DP-05,STF-155,Voucher,1,0,
5341,DIST-005341,1443,7,4,971,Medical Supplies,35,120,4200,2024-08-28,2024-09-06,9,Completed,Handcarry,DP-19,STF-039,Biometric,1,0,
5342,DIST-005342,3640,7,10,239,NFI Kit,21,85,1785,2022-08-27,2022-08-30,3,In Transit,Air,DP-16,STF-143,Biometric,0,0,
5343,DIST-005343,2568,4,6,1083,Winterization Kit,47,75,3525,2024-12-18,2024-12-28,10,Delayed,Truck,DP-03,STF-123,Voucher,1,0,
5344,DIST-005344,2288,9,4,447,Cash Transfer,31,100,3100,2023-03-23,2023-03-28,5,Completed,Handcarry,DP-36,STF-035,Biometric,1,0,
5345,DIST-005345,3584,11,10,26,Medical Supplies,15,120,1800,2022-01-26,2022-02-13,18,Delayed,Handcarry,DP-24,STF-186,Token,0,0,
5346,DIST-005346,2750,6,2,493,Education Kit,30,35,1050,2023-05-08,2023-05-12,4,Partial,Handcarry,DP-28,STF-067,Token,1,0,
5347,DIST-005347,3158,14,1,980,Medical Supplies,4,120,480,2024-09-06,2024-09-17,11,Delayed,Handcarry,DP-02,STF-075,Token,1,0,
5348,DIST-005348,709,11,3,49,Winterization Kit,47,75,3525,2022-02-18,2022-02-22,4,Completed,Handcarry,DP-39,STF-094,List-based,1,0,
5349,DIST-005349,3,11,4,373,Medical Supplies,16,120,1920,2023-01-08,2023-01-10,2,Completed,Boat,DP-05,STF-021,List-based,1,0,
5350,DIST-005350,1607,1,4,672,WASH Kit,43,60,2580,2023-11-03,2023-11-07,4,Completed,Boat,DP-34,STF-086,Token,1,0,
5351,DIST-005351,4447,5,2,143,WASH Kit,47,60,2820,2022-05-23,2022-05-24,1,Completed,Boat,DP-29,STF-004,Biometric,1,0,
5352,DIST-005352,4407,4,1,1079,NFI Kit,30,85,2550,2024-12-14,2024-12-16,2,Partial,Air,DP-14,STF-187,Voucher,1,1,
5353,DIST-005353,3617,12,6,501,Medical Supplies,12,120,1440,2023-05-16,2023-05-20,4,In Transit,Handcarry,DP-50,STF-151,Token,1,0,
5354,DIST-005354,4111,1,5,429,Food Ration,43,45,1935,2023-03-05,2023-03-06,1,Completed,Boat,DP-26,STF-178,Token,1,0,
5355,DIST-005355,3087,12,2,97,Food Ration,39,45,1755,2022-04-07,2022-04-12,5,Completed,Truck,DP-35,STF-087,Voucher,0,0,
5356,DIST-005356,2286,15,1,743,Medical Supplies,39,120,4680,2024-01-13,2024-01-21,8,Completed,Boat,DP-28,STF-128,Voucher,0,0,
5357,DIST-005357,1396,1,1,855,NFI Kit,3,85,255,2024-05-04,2024-05-20,16,Delayed,Boat,DP-13,STF-146,Voucher,0,0,
5358,DIST-005358,1526,6,7,267,Shelter Kit,11,250,2750,2022-09-24,2022-10-01,7,Completed,Boat,DP-47,STF-121,Token,1,0,
5359,DIST-005359,843,11,9,890,Shelter Kit,27,250,6750,2024-06-08,2024-06-09,1,In Transit,Handcarry,DP-01,STF-080,List-based,1,0,
5360,DIST-005360,726,14,2,751,WASH Kit,34,60,2040,2024-01-21,2024-01-22,1,Completed,Handcarry,DP-09,STF-123,List-based,1,1,
5361,DIST-005361,2930,5,3,13,Shelter Kit,24,250,6000,2022-01-13,2022-01-23,10,Completed,Boat,DP-38,STF-123,Token,0,0,
5362,DIST-005362,3267,4,3,860,Cash Transfer,40,100,4000,2024-05-09,2024-05-09,0,Completed,Truck,DP-45,STF-060,List-based,1,0,
5363,DIST-005363,3835,15,3,892,Medical Supplies,8,120,960,2024-06-10,2024-06-18,8,Completed,Truck,DP-15,STF-067,Biometric,1,0,
5364,DIST-005364,4698,13,3,765,Winterization Kit,38,75,2850,2024-02-04,2024-02-09,5,Completed,Boat,DP-44,STF-173,Biometric,0,0,
5365,DIST-005365,3184,4,8,1084,Medical Supplies,1,120,120,2024-12-19,2024-12-24,5,Completed,Truck,DP-03,STF-165,Token,1,1,
5366,DIST-005366,2762,2,5,388,Shelter Kit,38,250,9500,2023-01-23,2023-01-28,5,Completed,Truck,DP-06,STF-119,Biometric,1,0,
5367,DIST-005367,2720,9,9,512,Winterization Kit,7,75,525,2023-05-27,2023-06-01,5,Delayed,Air,DP-47,STF-116,Token,1,0,
5368,DIST-005368,4973,4,8,70,Education Kit,14,35,490,2022-03-11,2022-03-14,3,Completed,Handcarry,DP-42,STF-120,List-based,1,0,
5369,DIST-005369,4407,7,7,26,Food Ration,28,45,1260,2022-01-26,2022-02-01,6,In Transit,Truck,DP-38,STF-141,Biometric,1,0,
5370,DIST-005370,3652,6,4,736,Shelter Kit,1,250,250,2024-01-06,2024-01-16,10,Completed,Handcarry,DP-26,STF-169,List-based,1,0,
5371,DIST-005371,1770,11,7,418,Shelter Kit,43,250,10750,2023-02-22,2023-03-01,7,Delayed,Air,DP-03,STF-145,Token,0,0,
5372,DIST-005372,4260,14,2,561,NFI Kit,21,85,1785,2023-07-15,2023-07-22,7,Delayed,Boat,DP-06,STF-090,Token,1,0,
5373,DIST-005373,2471,5,3,219,Medical Supplies,35,120,4200,2022-08-07,2022-08-11,4,Partial,Boat,DP-34,STF-096,Token,0,0,
5374,DIST-005374,1418,4,8,123,NFI Kit,5,85,425,2022-05-03,2022-05-03,0,Completed,Air,DP-11,STF-046,Voucher,0,0,
5375,DIST-005375,3615,3,9,618,Winterization Kit,19,75,1425,2023-09-10,2023-09-18,8,Partial,Truck,DP-25,STF-054,Biometric,1,0,
5376,DIST-005376,4701,11,4,946,WASH Kit,24,60,1440,2024-08-03,2024-08-18,15,Delayed,Boat,DP-06,STF-035,Biometric,1,0,
5377,DIST-005377,4096,7,9,216,Education Kit,45,35,1575,2022-08-04,2022-08-07,3,Completed,Handcarry,DP-16,STF-145,Biometric,1,0,
5378,DIST-005378,4699,7,9,656,Shelter Kit,29,250,7250,2023-10-18,2023-11-01,14,Delayed,Boat,DP-16,STF-154,Voucher,1,0,
5379,DIST-005379,1587,1,5,871,NFI Kit,20,85,1700,2024-05-20,2024-05-29,9,Delayed,Handcarry,DP-33,STF-066,Biometric,1,0,
5380,DIST-005380,2701,6,2,497,Food Ration,8,45,360,2023-05-12,2023-05-13,1,Failed,Air,DP-11,STF-121,Voucher,1,0,
5381,DIST-005381,4002,6,2,363,NFI Kit,34,85,2890,2022-12-29,2023-01-01,3,Completed,Boat,DP-32,STF-138,List-based,1,1,
5382,DIST-005382,838,9,8,605,WASH Kit,42,60,2520,2023-08-28,2023-09-03,6,Completed,Truck,DP-32,STF-020,List-based,1,0,
5383,DIST-005383,1749,6,3,85,Food Ration,21,45,945,2022-03-26,2022-04-01,6,Completed,Air,DP-27,STF-084,List-based,1,0,
5384,DIST-005384,4143,4,10,258,Cash Transfer,16,100,1600,2022-09-15,2022-09-24,9,Completed,Truck,DP-19,STF-162,List-based,1,0,
5385,DIST-005385,4900,9,10,981,WASH Kit,21,60,1260,2024-09-07,2024-09-09,2,Completed,Boat,DP-25,STF-023,Biometric,0,0,
5386,DIST-005386,4176,5,7,280,Shelter Kit,49,250,12250,2022-10-07,2022-10-14,7,Completed,Boat,DP-29,STF-048,Token,1,1,
5387,DIST-005387,1484,14,3,1093,Food Ration,7,45,315,2024-12-28,2024-12-28,0,Completed,Air,DP-41,STF-153,Token,0,0,
5388,DIST-005388,500,7,2,664,NFI Kit,28,85,2380,2023-10-26,2023-10-28,2,Completed,Truck,DP-19,STF-134,Voucher,1,0,
5389,DIST-005389,163,10,10,1022,Medical Supplies,45,120,5400,2024-10-18,2024-10-25,7,Completed,Handcarry,DP-38,STF-028,List-based,1,0,
5390,DIST-005390,4198,7,1,702,Education Kit,30,35,1050,2023-12-03,2023-12-09,6,Completed,Air,DP-08,STF-006,Token,1,1,
5391,DIST-005391,393,2,8,850,Winterization Kit,38,75,2850,2024-04-29,2024-05-06,7,Completed,Air,DP-20,STF-170,Token,0,0,
5392,DIST-005392,2581,15,10,507,Shelter Kit,39,250,9750,2023-05-22,2023-06-03,12,Delayed,Truck,DP-22,STF-028,Token,1,1,
5393,DIST-005393,3208,5,8,434,Education Kit,11,35,385,2023-03-10,2023-03-20,10,Completed,Handcarry,DP-06,STF-080,Biometric,0,0,
5394,DIST-005394,714,11,7,864,Education Kit,35,35,1225,2024-05-13,2024-05-30,17,Delayed,Boat,DP-13,STF-009,Biometric,1,0,
5395,DIST-005395,1653,4,4,275,Education Kit,29,35,1015,2022-10-02,2022-10-07,5,In Transit,Air,DP-30,STF-153,Token,1,0,
5396,DIST-005396,4812,7,3,470,Food Ration,32,45,1440,2023-04-15,2023-04-15,0,Completed,Boat,DP-12,STF-042,Biometric,0,0,
5397,DIST-005397,3687,15,3,516,Winterization Kit,37,75,2775,2023-05-31,2023-06-06,6,Partial,Air,DP-21,STF-071,Token,0,0,
5398,DIST-005398,1079,5,4,522,Medical Supplies,45,120,5400,2023-06-06,2023-06-15,9,Completed,Air,DP-17,STF-176,List-based,0,0,
5399,DIST-005399,57,10,3,540,NFI Kit,43,85,3655,2023-06-24,2023-06-30,6,Partial,Truck,DP-19,STF-067,Biometric,1,0,
5400,DIST-005400,2897,4,7,76,Shelter Kit,42,250,10500,2022-03-17,2022-03-18,1,In Transit,Handcarry,DP-18,STF-127,Biometric,1,0,
5401,DIST-005401,2240,11,3,856,Medical Supplies,40,120,4800,2024-05-05,2024-05-14,9,Completed,Handcarry,DP-33,STF-126,Token,1,0,
5402,DIST-005402,4641,8,3,353,Medical Supplies,48,120,5760,2022-12-19,2022-12-25,6,Completed,Truck,DP-21,STF-109,Token,1,0,
5403,DIST-005403,4566,9,8,938,Education Kit,7,35,245,2024-07-26,2024-07-26,0,Partial,Truck,DP-50,STF-159,Biometric,1,0,
5404,DIST-005404,1035,3,9,178,WASH Kit,21,60,1260,2022-06-27,2022-06-29,2,Completed,Truck,DP-46,STF-102,Biometric,0,0,
5405,DIST-005405,3632,2,10,922,WASH Kit,19,60,1140,2024-07-10,2024-07-16,6,Completed,Handcarry,DP-29,STF-170,Token,1,0,
5406,DIST-005406,368,1,3,334,Winterization Kit,7,75,525,2022-11-30,2022-12-02,2,Partial,Boat,DP-16,STF-072,List-based,1,0,
5407,DIST-005407,3929,11,10,995,Medical Supplies,28,120,3360,2024-09-21,2024-09-23,2,Completed,Boat,DP-25,STF-003,Biometric,0,0,
5408,DIST-005408,276,1,2,325,Shelter Kit,50,250,12500,2022-11-21,2022-11-24,3,Completed,Handcarry,DP-39,STF-149,Biometric,0,0,
5409,DIST-005409,2507,1,6,767,Cash Transfer,26,100,2600,2024-02-06,2024-02-12,6,In Transit,Boat,DP-06,STF-005,Voucher,1,0,
5410,DIST-005410,499,2,5,76,Food Ration,19,45,855,2022-03-17,2022-03-23,6,Completed,Boat,DP-36,STF-046,Voucher,1,0,
5411,DIST-005411,3704,3,4,697,Winterization Kit,34,75,2550,2023-11-28,2023-11-29,1,In Transit,Truck,DP-37,STF-119,Token,1,0,
5412,DIST-005412,616,8,3,1067,NFI Kit,2,85,170,2024-12-02,2024-12-12,10,Completed,Handcarry,DP-13,STF-114,Biometric,1,0,
5413,DIST-005413,319,2,9,862,Medical Supplies,29,120,3480,2024-05-11,2024-05-15,4,Completed,Handcarry,DP-22,STF-168,Voucher,0,1,
5414,DIST-005414,2449,5,8,846,Cash Transfer,29,100,2900,2024-04-25,2024-05-01,6,In Transit,Handcarry,DP-21,STF-086,Voucher,1,1,
5415,DIST-005415,1791,10,9,944,Food Ration,41,45,1845,2024-08-01,2024-08-11,10,Completed,Handcarry,DP-20,STF-001,Biometric,1,0,
5416,DIST-005416,4744,8,8,260,Food Ration,6,45,270,2022-09-17,2022-09-26,9,Delayed,Handcarry,DP-49,STF-098,Biometric,0,0,
5417,DIST-005417,1951,14,7,618,Shelter Kit,23,250,5750,2023-09-10,2023-09-18,8,Completed,Boat,DP-12,STF-187,List-based,0,1,
5418,DIST-005418,3181,6,3,868,Food Ration,30,45,1350,2024-05-17,2024-05-18,1,Failed,Air,DP-11,STF-140,Token,0,0,
5419,DIST-005419,1523,7,10,923,Cash Transfer,17,100,1700,2024-07-11,2024-07-17,6,Completed,Truck,DP-18,STF-086,Biometric,0,0,
5420,DIST-005420,3468,7,4,802,Education Kit,23,35,805,2024-03-12,2024-03-20,8,Partial,Handcarry,DP-45,STF-056,Biometric,0,1,
5421,DIST-005421,4223,2,4,32,Education Kit,3,35,105,2022-02-01,2022-02-10,9,Completed,Boat,DP-18,STF-053,Token,0,0,
5422,DIST-005422,4908,10,9,793,Education Kit,29,35,1015,2024-03-03,2024-03-12,9,Delayed,Handcarry,DP-21,STF-006,List-based,1,0,
5423,DIST-005423,2445,7,3,783,Cash Transfer,12,100,1200,2024-02-22,2024-02-26,4,Completed,Truck,DP-17,STF-092,List-based,1,0,
5424,DIST-005424,2554,8,2,723,Food Ration,49,45,2205,2023-12-24,2024-01-03,10,Failed,Air,DP-28,STF-138,List-based,1,1,
5425,DIST-005425,4550,3,3,922,Cash Transfer,5,100,500,2024-07-10,2024-07-14,4,Completed,Air,DP-21,STF-008,Voucher,1,1,
5426,DIST-005426,3506,5,8,184,Medical Supplies,46,120,5520,2022-07-03,2022-07-12,9,Completed,Truck,DP-43,STF-139,Voucher,0,0,
5427,DIST-005427,293,13,9,321,WASH Kit,17,60,1020,2022-11-17,2022-11-19,2,In Transit,Truck,DP-44,STF-111,Voucher,1,0,
5428,DIST-005428,4398,2,5,257,Cash Transfer,4,100,400,2022-09-14,2022-09-14,0,In Transit,Boat,DP-16,STF-171,Voucher,1,0,
5429,DIST-005429,864,6,4,1010,Education Kit,34,35,1190,2024-10-06,2024-10-11,5,Completed,Handcarry,DP-05,STF-164,List-based,1,0,
5430,DIST-005430,2592,10,4,154,Education Kit,11,35,385,2022-06-03,2022-06-13,10,Completed,Truck,DP-43,STF-018,List-based,1,0,
5431,DIST-005431,2197,4,3,751,Shelter Kit,11,250,2750,2024-01-21,2024-01-31,10,Partial,Boat,DP-29,STF-193,Voucher,1,0,
5432,DIST-005432,4485,7,10,275,Winterization Kit,1,75,75,2022-10-02,2022-10-10,8,Completed,Boat,DP-02,STF-074,Voucher,1,0,
5433,DIST-005433,2322,14,1,505,Medical Supplies,22,120,2640,2023-05-20,2023-05-26,6,Delayed,Air,DP-24,STF-101,List-based,1,1,
5434,DIST-005434,4384,8,6,815,NFI Kit,50,85,4250,2024-03-25,2024-04-04,10,Delayed,Handcarry,DP-33,STF-133,Voucher,1,0,
5435,DIST-005435,412,2,5,776,Cash Transfer,30,100,3000,2024-02-15,2024-02-20,5,Completed,Truck,DP-12,STF-109,List-based,1,0,
5436,DIST-005436,2368,5,8,103,Food Ration,34,45,1530,2022-04-13,2022-04-21,8,Completed,Truck,DP-06,STF-175,Biometric,1,0,
5437,DIST-005437,862,12,2,589,Shelter Kit,37,250,9250,2023-08-12,2023-08-21,9,Completed,Air,DP-44,STF-031,Token,1,0,
5438,DIST-005438,2785,3,1,620,Cash Transfer,41,100,4100,2023-09-12,2023-09-29,17,Delayed,Boat,DP-05,STF-105,Voucher,1,0,
5439,DIST-005439,3087,15,6,444,Cash Transfer,45,100,4500,2023-03-20,2023-03-26,6,Completed,Truck,DP-08,STF-166,Biometric,0,0,
5440,DIST-005440,25,13,2,315,Cash Transfer,24,100,2400,2022-11-11,2022-11-21,10,Partial,Handcarry,DP-20,STF-072,Biometric,1,0,
5441,DIST-005441,3140,7,8,566,Education Kit,8,35,280,2023-07-20,2023-07-25,5,Completed,Truck,DP-18,STF-001,Biometric,1,0,
5442,DIST-005442,2129,6,5,904,NFI Kit,15,85,1275,2024-06-22,2024-07-02,10,Completed,Truck,DP-42,STF-066,Voucher,1,0,
5443,DIST-005443,2643,8,4,33,NFI Kit,36,85,3060,2022-02-02,2022-02-06,4,Completed,Truck,DP-23,STF-051,Biometric,0,0,
5444,DIST-005444,1824,1,1,405,Cash Transfer,24,100,2400,2023-02-09,2023-02-10,1,Completed,Truck,DP-14,STF-133,Token,1,0,
5445,DIST-005445,3273,5,4,360,Education Kit,8,35,280,2022-12-26,2023-01-05,10,Partial,Truck,DP-13,STF-006,List-based,0,0,
5446,DIST-005446,1928,8,3,198,Cash Transfer,18,100,1800,2022-07-17,2022-07-25,8,Completed,Truck,DP-07,STF-096,Token,1,0,
5447,DIST-005447,3465,2,8,521,Cash Transfer,49,100,4900,2023-06-05,2023-06-11,6,Partial,Boat,DP-19,STF-002,Token,0,0,
5448,DIST-005448,4915,5,5,702,Medical Supplies,15,120,1800,2023-12-03,2023-12-06,3,Partial,Air,DP-13,STF-035,Biometric,0,0,
5449,DIST-005449,2851,13,8,237,NFI Kit,19,85,1615,2022-08-25,2022-08-25,0,Partial,Handcarry,DP-04,STF-018,Voucher,0,0,
5450,DIST-005450,4882,13,5,722,Food Ration,4,45,180,2023-12-23,2023-12-30,7,Completed,Truck,DP-11,STF-192,Voucher,1,0,
5451,DIST-005451,3299,13,5,628,Food Ration,22,45,990,2023-09-20,2023-09-22,2,Completed,Handcarry,DP-11,STF-094,Biometric,1,0,
5452,DIST-005452,4159,3,7,1034,Winterization Kit,9,75,675,2024-10-30,2024-11-01,2,Completed,Boat,DP-35,STF-165,Biometric,1,0,
5453,DIST-005453,4629,10,6,451,Food Ration,4,45,180,2023-03-27,2023-04-04,8,Completed,Handcarry,DP-44,STF-098,List-based,1,0,
5454,DIST-005454,2948,5,8,404,WASH Kit,46,60,2760,2023-02-08,2023-02-15,7,Completed,Air,DP-15,STF-011,Voucher,1,0,
5455,DIST-005455,3527,4,8,65,Cash Transfer,33,100,3300,2022-03-06,2022-03-07,1,Completed,Boat,DP-26,STF-106,List-based,0,0,
5456,DIST-005456,976,14,10,967,Medical Supplies,35,120,4200,2024-08-24,2024-08-25,1,Partial,Truck,DP-19,STF-133,Biometric,1,1,
5457,DIST-005457,1862,7,1,358,Winterization Kit,34,75,2550,2022-12-24,2022-12-31,7,Completed,Boat,DP-44,STF-106,Biometric,1,0,
5458,DIST-005458,1952,8,10,192,NFI Kit,31,85,2635,2022-07-11,2022-07-17,6,Completed,Air,DP-34,STF-045,List-based,1,0,
5459,DIST-005459,917,13,8,233,Food Ration,45,45,2025,2022-08-21,2022-09-02,12,Delayed,Boat,DP-06,STF-186,Voucher,1,0,
5460,DIST-005460,96,11,8,991,Education Kit,28,35,980,2024-09-17,2024-09-19,2,Completed,Boat,DP-34,STF-062,Voucher,1,0,
5461,DIST-005461,1790,12,6,903,WASH Kit,23,60,1380,2024-06-21,2024-06-23,2,In Transit,Boat,DP-22,STF-114,List-based,1,0,
5462,DIST-005462,3133,10,3,817,Shelter Kit,1,250,250,2024-03-27,2024-04-04,8,Completed,Truck,DP-10,STF-092,Biometric,1,0,
5463,DIST-005463,2008,4,9,480,Cash Transfer,5,100,500,2023-04-25,2023-05-04,9,Completed,Truck,DP-21,STF-192,Token,1,0,
5464,DIST-005464,282,14,1,424,Food Ration,4,45,180,2023-02-28,2023-02-28,0,Completed,Handcarry,DP-25,STF-071,Voucher,1,0,
5465,DIST-005465,2645,11,1,1086,Cash Transfer,9,100,900,2024-12-21,2024-12-29,8,Completed,Truck,DP-38,STF-008,Token,0,0,
5466,DIST-005466,198,9,6,363,WASH Kit,24,60,1440,2022-12-29,2023-01-03,5,Partial,Truck,DP-38,STF-024,Token,1,0,
5467,DIST-005467,3494,10,5,274,Winterization Kit,26,75,1950,2022-10-01,2022-10-09,8,Completed,Handcarry,DP-20,STF-150,Token,1,1,
5468,DIST-005468,4043,1,6,518,NFI Kit,13,85,1105,2023-06-02,2023-06-10,8,Completed,Boat,DP-14,STF-198,Biometric,1,0,
